Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,09/25/2023,"VENMO            PAYMENT    1029556848348   WEB ID: 3264681992",-11.00,ACH_DEBIT,15837.49,,
DEBIT,09/25/2023,"WAL-MART #1878 REXBURG ID                    09/23",-56.29,DEBIT_CARD,15848.49,,
DEBIT,09/25/2023,"POND'S LODGE RESTAURAN ISLAND PARK ID        09/23",-20.02,DEBIT_CARD,15904.78,,
DEBIT,09/25/2023,"HENRYS LAKE STA ISLAND PARK ID               09/23",-3.81,DEBIT_CARD,15924.80,,
DEBIT,09/25/2023,"GOOD 2 GO 105 REXBURG ID             765013  09/22",-10.05,DEBIT_CARD,15928.61,,
DEBIT,09/22/2023,"BYUI FOOD SVCS REXBURG ID                    09/21",-6.56,DEBIT_CARD,15938.66,,
CREDIT,09/22/2023,"Online Transfer from  CHK ...2685 transaction#: 18450173440",40.00,ACCT_XFER,15945.22,,
DEBIT,09/21/2023,"PARAMOUNT 5 REXBURG ID                       09/20",-7.00,DEBIT_CARD,15905.22,,
DEBIT,09/21/2023,"COLD STONE CREAMERY #2 208-3592244 ID        09/20",-6.88,DEBIT_CARD,15912.22,,
DEBIT,09/21/2023,"BYUI FOOD SVCS REXBURG ID                    09/20",-9.49,DEBIT_CARD,15919.10,,
DEBIT,09/19/2023,"VENMO            PAYMENT    1029484351079   WEB ID: 3264681992",-10.00,ACH_DEBIT,15928.59,,
DEBIT,09/19/2023,"CASHNET SMARTPAY BYUI       763809633       WEB ID: 9061578063",-1888.15,ACH_DEBIT,15938.59,,
DEBIT,09/18/2023,"WAL-MART  Wal-Mart Sup REXBURG ID            09/16",-55.92,DEBIT_CARD,17826.74,,
DEBIT,09/18/2023,"SONIC DRIVE IN #6594 REXBURG ID              09/15",-3.59,DEBIT_CARD,17882.66,,
DEBIT,09/15/2023,"BYUI FOOD SVCS REXBURG ID                    09/14",-8.79,DEBIT_CARD,17886.25,,
CREDIT,09/15/2023,"Online Transfer from  CHK ...2685 transaction#: 18388185036",25.00,ACCT_XFER,17895.04,,
CREDIT,09/15/2023,"Online Transfer from SAV ...9019 transaction#: 18454813065",1746.00,ACCT_XFER,17870.04,,
DEBIT,09/14/2023,"WAL-MART  Wal-Mart Sup REXBURG ID            09/14",-3.86,DEBIT_CARD,16124.04,,
DEBIT,09/14/2023,"WAL-MART #1878 REXBURG ID                    09/14",-53.36,DEBIT_CARD,16127.90,,
DEBIT,09/14/2023,"TST* SODAVINE - REXBURG REXBURG ID           09/14",-7.18,DEBIT_CARD,16181.26,,
DEBIT,09/13/2023,"BYUI UNIVERSITY STORE REXBURG ID             09/12",-48.71,DEBIT_CARD,16188.44,,
DEBIT,09/12/2023,"VENMO            PAYMENT    1029348182496   WEB ID: 3264681992",-10.00,ACH_DEBIT,16237.15,,
DEBIT,09/11/2023,"WAL-MART #1878 REXBURG ID                    09/11",-6.17,DEBIT_CARD,16247.15,,
DEBIT,09/11/2023,"BIG 5 SPORTING 386 REXBURG ID                09/11",-26.49,DEBIT_CARD,16253.32,,
DEBIT,09/11/2023,"VENMO            PAYMENT    1029321904449   WEB ID: 3264681992",-4.75,ACH_DEBIT,16279.81,,
DEBIT,09/11/2023,"SUPERCUTS 81293 REXBURG ID                   09/09",-30.00,DEBIT_CARD,16284.56,,
DEBIT,09/11/2023,"BYUI UNIVERSITY STORE REXBURG ID             09/09",-24.38,DEBIT_CARD,16314.56,,
DEBIT,09/11/2023,"SQ *BLISTERS BBQ Rexburg ID                  09/08",-14.29,DEBIT_CARD,16338.94,,
DEBIT,09/08/2023,"WM SUPERC Wal-Mart Sup IDAHO FALLS ID        09/08",-122.55,DEBIT_CARD,16353.23,,
DEBIT,09/08/2023,"WAL-MART #5494 IDAHO FALLS ID                09/08",-22.63,DEBIT_CARD,16475.78,,
DEBIT,09/08/2023,"Chevron Gas Station WOODS CROSS UT   207452  09/08",-4.11,DEBIT_CARD,16498.41,,
DEBIT,09/08/2023,"SHELL SERVICE STATION OREM UT        224066  09/08",-55.18,DEBIT_CARD,16502.52,,
DEBIT,09/08/2023,"76 - VIRGIN VALLEY FOO MESQUITE NV           09/07",-60.26,DEBIT_CARD,16557.70,,
DEBIT,09/08/2023,"POPEYES 5719 LAS VEGAS NV                    09/07",-8.65,DEBIT_CARD,16617.96,,
CREDIT,09/08/2023,"Online Transfer from  CHK ...2685 transaction#: 18323310222",25.00,ACCT_XFER,16626.61,,
CREDIT,09/08/2023,"Online Transfer from CHK ...2685 transaction#: 18390512672",175.00,ACCT_XFER,16601.61,,
DEBIT,09/07/2023,"RADC ENTERPRISE ONTARIO CA                   09/07",-24.42,DEBIT_CARD,16426.61,,
DEBIT,09/06/2023,"CITY OF NEWPORT BEAC NEWPORT BEACH CA        09/05",-17.00,DEBIT_CARD,16451.03,,
DEBIT,09/06/2023,"TARGET        00019612 MIRA LOMA CA          09/05",-2.14,DEBIT_CARD,16468.03,,
DEBIT,09/05/2023,"ARCO #42290 AMPM ONTARIO CA                  09/05",-71.37,DEBIT_CARD,16470.17,,
DEBIT,09/05/2023,"FAMOUS FOOTWEAR #2603 MIRA LOMA CA           09/05",-21.54,DEBIT_CARD,16541.54,,
DEBIT,09/05/2023,"DICKS SPORTING GOODS EAST VALE CA    497443  09/05",-48.47,DEBIT_CARD,16563.08,,
DEBIT,09/05/2023,"TARGET T- 12471 Limoni Mira Loma CA          09/05",-29.38,DEBIT_CARD,16611.55,,
DEBIT,09/05/2023,"VENMO            PAYMENT    1029172683918   WEB ID: 3264681992",-23.00,ACH_DEBIT,16640.93,,
CREDIT,09/05/2023,"Online Transfer from SAV ...9019 transaction#: 18360439490",500.00,ACCT_XFER,16663.93,,
CREDIT,09/01/2023,"Online Transfer from  CHK ...2685 transaction#: 18257722606",25.00,ACCT_XFER,16163.93,,
DEBIT,08/31/2023,"CANTEEN VENDING GRAPEVINE TX                 08/30",-3.25,DEBIT_CARD,16138.93,,
DEBIT,08/31/2023,"IN N OUT BURGER 063 TUSTIN CA                08/30",-10.99,DEBIT_CARD,16142.18,,
CREDIT,08/30/2023,"Coinbase.com     5SVLDD2B                   PPD ID: 1455293997",241.66,ACH_CREDIT,16153.17,,
DEBIT,08/29/2023,"7-ELEVEN Ontario CA                          08/29",-8.46,DEBIT_CARD,15911.51,,
DEBIT,08/29/2023,"AMZN Mktp US*T359G96 Amzn.com/bill WA        08/29",-23.84,DEBIT_CARD,15919.97,,
DEBIT,08/29/2023,"AMZN Mktp US*T389T22 Amzn.com/bill WA        08/29",-22.83,DEBIT_CARD,15943.81,,
DEBIT,08/29/2023,"RAISING CANES 0330 ONTARIO CA                08/28",-11.11,DEBIT_CARD,15966.64,,
DEBIT,08/28/2023,"WAL-MART #3796 ONTARIO CA                    08/28",-58.58,DEBIT_CARD,15977.75,,
DEBIT,08/28/2023,"ATM WITHDRAWAL                       008895  08/281070 N MO",-20.00,ATM,16036.33,,
DEBIT,08/28/2023,"MCDONALD'S F17646 ONTARIO CA                 08/26",-3.90,DEBIT_CARD,16056.33,,
DEBIT,08/28/2023,"Dicks Sporting Goods Eastvale CA             08/26",-35.55,DEBIT_CARD,16060.23,,
DEBIT,08/28/2023,"BEST BUY CO   00024745 SAN MARCOS TX         08/25",-1717.16,DEBIT_CARD,16095.78,,
CREDIT,08/28/2023,"Online Transfer from CHK ...2685 transaction#: 18286848446",60.00,ACCT_XFER,17812.94,,
CREDIT,08/25/2023,"Online Transfer from  CHK ...2685 transaction#: 18198771932",25.00,ACCT_XFER,17752.94,,
CREDIT,08/18/2023,"Online Transfer from  CHK ...2685 transaction#: 18136428188",25.00,ACCT_XFER,17727.94,,
CREDIT,08/11/2023,"Online Transfer from  CHK ...2685 transaction#: 18075144565",25.00,ACCT_XFER,17702.94,,
DEBIT,08/09/2023,"WINGERS OF PRICE MOUNTAIN HOME UT            08/08",-29.21,DEBIT_CARD,17677.94,,
CREDIT,08/04/2023,"Online Transfer from  CHK ...2685 transaction#: 18005118987",25.00,ACCT_XFER,17707.15,,
CREDIT,07/28/2023,"Online Transfer from  CHK ...2685 transaction#: 17945257212",25.00,ACCT_XFER,17682.15,,
DEBIT,07/27/2023,"CHUGG PRICE UT                               07/26",-1.75,DEBIT_CARD,17657.15,,
DEBIT,07/26/2023,"BIG DONS PIZZA OF PRICE PRICE UT             07/25",-40.26,DEBIT_CARD,17658.90,,
DEBIT,07/24/2023,"MAVERIK #710 HELPER UT                       07/22",-5.85,DEBIT_CARD,17699.16,,
CREDIT,07/21/2023,"Online Transfer from  CHK ...2685 transaction#: 17884313984",25.00,ACCT_XFER,17705.01,,
CREDIT,07/14/2023,"Online Transfer from  CHK ...2685 transaction#: 17824017104",25.00,ACCT_XFER,17680.01,,
CREDIT,07/07/2023,"Online Transfer from  CHK ...2685 transaction#: 17758121927",25.00,ACCT_XFER,17655.01,,
DEBIT,07/05/2023,"Deseret Book - 51830 Spanish Fork UT         07/04",-18.50,DEBIT_CARD,17630.01,,
CREDIT,06/30/2023,"Online Transfer from  CHK ...2685 transaction#: 17697044947",25.00,ACCT_XFER,17648.51,,
CREDIT,06/23/2023,"Online Transfer from  CHK ...2685 transaction#: 17639205046",25.00,ACCT_XFER,17623.51,,
CREDIT,06/16/2023,"Online Transfer from  CHK ...2685 transaction#: 17577763841",25.00,ACCT_XFER,17598.51,,
DEBIT,06/13/2023,"TACO BELL 027887 PAYSON UT                   06/12",-8.43,DEBIT_CARD,17573.51,,
DEBIT,06/12/2023,"WAL-MART #5167 PAYSON UT                     06/12",-8.53,DEBIT_CARD,17581.94,,
DEBIT,06/12/2023,"WAL-MART #5167 PAYSON UT                     06/12",-9.36,DEBIT_CARD,17590.47,,
CREDIT,06/09/2023,"Online Transfer from  CHK ...2685 transaction#: 17515071077",25.00,ACCT_XFER,17599.83,,
DEBIT,06/08/2023,"EL DORADO RESTAURANT NEPHI UT                06/06",-5.78,DEBIT_CARD,17574.83,,
CREDIT,06/02/2023,"Online Transfer from  CHK ...2685 transaction#: 17450920111",25.00,ACCT_XFER,17580.61,,
DEBIT,05/30/2023,"WM SUPERC Wal-Mart Sup PAYSON UT             05/29",-23.16,DEBIT_CARD,17555.61,,
CREDIT,05/26/2023,"Online Transfer from  CHK ...2685 transaction#: 17393643952",25.00,ACCT_XFER,17578.77,,
CREDIT,05/19/2023,"Online Transfer from  CHK ...2685 transaction#: 17332255659",25.00,ACCT_XFER,17553.77,,
CREDIT,05/12/2023,"Online Transfer from  CHK ...2685 transaction#: 17272987301",25.00,ACCT_XFER,17528.77,,
CREDIT,05/05/2023,"Online Transfer from  CHK ...2685 transaction#: 17203847418",25.00,ACCT_XFER,17503.77,,
DEBIT,04/28/2023,"LITTLE CAESARS 3460-000 SANTAQUIN UT         04/27",-7.57,DEBIT_CARD,17478.77,,
CREDIT,04/28/2023,"Online Transfer from  CHK ...2685 transaction#: 17145489398",25.00,ACCT_XFER,17486.34,,
DEBIT,04/27/2023,"RAISING CANES 0593 PROVO UT                  04/26",-35.65,DEBIT_CARD,17461.34,,
DEBIT,04/24/2023,"WM SUPERC Wal-Mart Sup PAYSON UT             04/24",-24.68,DEBIT_CARD,17496.99,,
CREDIT,04/21/2023,"Online Transfer from  CHK ...2685 transaction#: 17085581509",25.00,ACCT_XFER,17521.67,,
DEBIT,04/17/2023,"WM SUPERC Wal-Mart Sup PAYSON UT             04/17",-28.70,DEBIT_CARD,17496.67,,
DEBIT,04/14/2023,"Ryder's Quick S GOSHEN UT                    04/14",-13.19,DEBIT_CARD,17525.37,,
CREDIT,04/14/2023,"Online Transfer from  CHK ...2685 transaction#: 17028138949",25.00,ACCT_XFER,17538.56,,
DEBIT,04/11/2023,"GAS HOLE EUREKA UT                           04/11",-0.86,DEBIT_CARD,17513.56,,
DEBIT,04/11/2023,"LITTLE CAESARS 3460-000 SANTAQUIN UT         04/10",-7.57,DEBIT_CARD,17514.42,,
DEBIT,04/11/2023,"RAISING CANES 0593 PROVO UT                  04/10",-12.24,DEBIT_CARD,17521.99,,
DEBIT,04/07/2023,"PANDA EXPRESS 2671 HEBER CITY UT             04/06",-10.67,DEBIT_CARD,17534.23,,
CREDIT,04/07/2023,"Online Transfer from  CHK ...2685 transaction#: 16961933189",25.00,ACCT_XFER,17544.90,,
CREDIT,03/31/2023,"Online Transfer from  CHK ...2685 transaction#: 16904388117",25.00,ACCT_XFER,17519.90,,
CREDIT,03/24/2023,"Online Transfer from  CHK ...2685 transaction#: 16848315325",25.00,ACCT_XFER,17494.90,,
DEBIT,03/20/2023,"TST* BILLY BLANCO'S PARK CITY UT             03/18",-20.23,DEBIT_CARD,17469.90,,
CREDIT,03/17/2023,"Online Transfer from  CHK ...2685 transaction#: 16788941378",25.00,ACCT_XFER,17490.13,,
DEBIT,03/16/2023,"FIVE GUYS UT 1637 QSR PARK CITY UT           03/15",-6.50,DEBIT_CARD,17465.13,,
DEBIT,03/16/2023,"FIVE GUYS UT 1637 QSR PARK CITY UT           03/15",-11.05,DEBIT_CARD,17471.63,,
DEBIT,03/10/2023,"SQ *TACOS EL GUERO Kamas UT                  03/09",-7.00,DEBIT_CARD,17482.68,,
CREDIT,03/10/2023,"Online Transfer from  CHK ...2685 transaction#: 16728719312",25.00,ACCT_XFER,17489.68,,
DEBIT,03/06/2023,"Subway 45389 Kamas UT                        03/05",-4.20,DEBIT_CARD,17464.68,,
DEBIT,03/03/2023,"PANDA EXPRESS 2671 HEBER CITY UT             03/02",-10.66,DEBIT_CARD,17468.88,,
CREDIT,03/03/2023,"Online Transfer from  CHK ...2685 transaction#: 16659783824",25.00,ACCT_XFER,17479.54,,
DEBIT,02/24/2023,"ASIAN BISTRO HEBER CITY UT                   02/23",-17.89,DEBIT_CARD,17454.54,,
CREDIT,02/24/2023,"Online Transfer from  CHK ...2685 transaction#: 16603858601",25.00,ACCT_XFER,17472.43,,
DEBIT,02/21/2023,"RESORT RETAILER KAMAS UT                     02/21",-5.54,DEBIT_CARD,17447.43,,
DEBIT,02/17/2023,"PANDA EXPRESS 2671 HEBER CITY UT             02/16",-21.31,DEBIT_CARD,17452.97,,
CREDIT,02/17/2023,"Online Transfer from  CHK ...2685 transaction#: 16533924142",25.00,ACCT_XFER,17474.28,,
DEBIT,02/14/2023,"SQ *BOLT RANCH STORE Kamas UT                02/13",-50.15,DEBIT_CARD,17449.28,,
CREDIT,02/13/2023,"Online Transfer from SAV ...5942 transaction#: 16565070899",25.00,ACCT_XFER,17499.43,,
CREDIT,02/10/2023,"Online Transfer from  CHK ...2685 transaction#: 16452280752",25.00,ACCT_XFER,17474.43,,
DEBIT,02/07/2023,"MCDONALD'S F7971 PARK CITY UT                02/06",-8.95,DEBIT_CARD,17449.43,,
CREDIT,02/03/2023,"Online Transfer from  CHK ...2685 transaction#: 16388142025",25.00,ACCT_XFER,17458.38,,
DEBIT,01/31/2023,"KAMAS FOODTOWN KAMAS UT                      01/30",-8.14,DEBIT_CARD,17433.38,,
DEBIT,01/30/2023,"Wal-Mart Super Center PARK CITY UT           01/30",-16.57,DEBIT_CARD,17441.52,,
CREDIT,01/27/2023,"Online Transfer from  CHK ...2685 transaction#: 16335536535",25.00,ACCT_XFER,17458.09,,
CREDIT,01/20/2023,"Online Transfer from  CHK ...2685 transaction#: 16281747473",25.00,ACCT_XFER,17433.09,,
CREDIT,01/13/2023,"Online Transfer from  CHK ...2685 transaction#: 16221219530",25.00,ACCT_XFER,17408.09,,
CREDIT,01/06/2023,"Online Transfer from  CHK ...2685 transaction#: 16160609787",25.00,ACCT_XFER,17383.09,,
DEBIT,01/05/2023,"RESORT RETAILER KAMAS UT                     01/05",-4.49,DEBIT_CARD,17358.09,,
CREDIT,12/30/2022,"Online Transfer from  CHK ...2685 transaction#: 16108796972",25.00,ACCT_XFER,17362.58,,
CREDIT,12/23/2022,"Online Transfer from  CHK ...2685 transaction#: 16051386493",25.00,ACCT_XFER,17337.58,,
CREDIT,12/22/2022,"Online Transfer from CHK ...2685 transaction#: 16102103629",1000.00,ACCT_XFER,17312.58,,
DEBIT,12/20/2022,"MOD PIZZA PARK CITY PARK CITY UT             12/19",-10.55,DEBIT_CARD,16312.58,,
DEBIT,12/16/2022,"PANDA EXPRESS 2671 HEBER CITY UT             12/15",-9.20,DEBIT_CARD,16323.13,,
CREDIT,12/16/2022,"Online Transfer from  CHK ...2685 transaction#: 15994168541",25.00,ACCT_XFER,16332.33,,
DEBIT,12/13/2022,"SQ *BOLT RANCH STORE Kamas UT                12/12",-55.33,DEBIT_CARD,16307.33,,
DEBIT,12/09/2022,"CAFE RIO 0068 HEBER CIT HEBER CITY UT        12/09",-14.08,DEBIT_CARD,16362.66,,
CREDIT,12/09/2022,"Online Transfer from  CHK ...2685 transaction#: 15934445683",25.00,ACCT_XFER,16376.74,,
DEBIT,12/06/2022,"PANDA EXPRESS 2671 HEBER CITY UT             12/05",-11.84,DEBIT_CARD,16351.74,,
CREDIT,12/02/2022,"Online Transfer from  CHK ...2685 transaction#: 15873997305",25.00,ACCT_XFER,16363.58,,
DEBIT,11/28/2022,"Fiiz Drinks Spanish F Spanish Fork UT        11/27",-1.08,DEBIT_CARD,16338.58,,
DEBIT,11/28/2022,"CHIPOTLE 4049 SPANISH FORK UT                11/25",-11.47,DEBIT_CARD,16339.66,,
DEBIT,11/25/2022,"Fiiz Drinks Spanish F Spanish Fork UT        11/24",-5.14,DEBIT_CARD,16351.13,,
CREDIT,11/25/2022,"Online Transfer from  CHK ...2685 transaction#: 15822113732",25.00,ACCT_XFER,16356.27,,
DEBIT,11/21/2022,"1011 SUPER CHIX CHICK SPANISH FORK UT        11/17",-14.59,DEBIT_CARD,16331.27,,
CREDIT,11/18/2022,"Online Transfer from  CHK ...2685 transaction#: 15758256689",25.00,ACCT_XFER,16345.86,,
DEBIT,11/16/2022,"IN N OUT BURGER 358 SPANISH FORK UT          11/14",-9.31,DEBIT_CARD,16320.86,,
DEBIT,11/15/2022,"Fiiz Drinks Spanish F Spanish Fork UT        11/15",-6.48,DEBIT_CARD,16330.17,,
CREDIT,11/10/2022,"Online Transfer from  CHK ...2685 transaction#: 15710574661",25.00,ACCT_XFER,16336.65,,
DEBIT,11/07/2022,"IN N OUT BURGER 358 SPANISH FORK UT          11/05",-30.20,DEBIT_CARD,16311.65,,
CREDIT,11/04/2022,"Online Transfer from  CHK ...2685 transaction#: 15646392021",25.00,ACCT_XFER,16341.85,,
CREDIT,10/28/2022,"Online Transfer from  CHK ...2685 transaction#: 15593526075",25.00,ACCT_XFER,16316.85,,
DEBIT,10/26/2022,"WM SUPERC Wal-Mart Su SPANISH FORK UT        10/26",-12.84,DEBIT_CARD,16291.85,,
DEBIT,10/24/2022,"RAISING CANE'S 593 PROVO UT                  10/22",-25.95,DEBIT_CARD,16304.69,,
CREDIT,10/21/2022,"Online Transfer from  CHK ...2685 transaction#: 15538132487",25.00,ACCT_XFER,16330.64,,
DEBIT,10/17/2022,"Fiiz Drinks Salem Salem UT                   10/15",-1.08,DEBIT_CARD,16305.64,,
DEBIT,10/17/2022,"TERIYAKI MADNESS - SP SPANISH FORK UT        10/14",-11.90,DEBIT_CARD,16306.72,,
CREDIT,10/14/2022,"Online Transfer from  CHK ...2685 transaction#: 15484458412",25.00,ACCT_XFER,16318.62,,
